"","bird_id","season","period","colony","age_class","sex","deploy_num","start","end","F_dives","vert_dist","av_maxdep","dive_time","av_dive_eff","av_descr","av_descr_15","na.rm","F_dives_PH","vert_dist_PH","F_dives_PHSD","vert_dist_PHSD","br_st"
"1",2802,"2016","Moult","ROYD","Old","M",1,"2017-02-01","2017-04-14",7174,797996.193940994,38.1368699828395,1035177,0.353981070701125,1.49942496822277,1.67744179996363,TRUE,4.09474885844749,455.477279646686,24.9487768758386,2775.16434212466,"Non breeder"
"2",2802,"2016","Returning migration","ROYD","Old","M",1,"2017-08-16","2017-10-31",10350,1540465.23396987,55.5465361973447,2001059,0.306099134244886,1.30711102958148,1.27211139458364,TRUE,5.60064935064935,833.585083317027,18.6201406355335,2771.36998074096,"Non breeder"
"3",2802,"2016","Outgoing migration","ROYD","Old","M",1,"2017-04-15","2017-05-31",4938,518856.847805568,37.6447470269837,698531,0.340994348729851,1.51628026559023,1.51499206129449,TRUE,4.37765957446809,459.979475004936,25.4488347689652,2674.0182641859,"Non breeder"
"4",2802,"2016","Migration max","ROYD","Old","M",1,"2017-06-01","2017-08-15",5428,506777.928421793,33.351731081922,869304,0.37101666939158,1.42716198028529,1.68236668329243,TRUE,2.97587719298246,277.838776547035,22.478672593247,2098.69107046379,"Non breeder"
"5",2802,"2018","Returning migration","ROYD","Old","M",3,"2019-08-16","2019-10-31",12099,1747745.3399,54.4282460839739,2164264,0.347193971826969,1.39423342243161,1.23176762659933,TRUE,6.54707792207792,945.74964280303,20.1252712238433,2907.16993104353,"Successful breeder"
"6",2802,"2018","Outgoing migration","ROYD","Old","M",3,"2019-04-15","2019-05-31",1035,221386.574062,20.1092081835749,347036,0.432114767589336,1.43684005536232,1.54096671348315,TRUE,0.917553191489362,196.264693317376,10.736638273839,2296.56769506103,"Successful breeder"
"7",2802,"2018","Migration max","ROYD","Old","M",3,"2019-06-01","2019-08-15",3771,538293.309942,40.6535672580217,788488,0.38993323482809,1.38931814192522,1.25151766367041,TRUE,2.06743421052632,295.116946240132,17.2172563184221,2457.68599622467,"Successful breeder"
"8",2802,"2018","Moult","ROYD","Old","M",3,"2019-02-01","2019-04-14",5267,657715.00226,26.1166857755838,983583,0.381507839513669,1.42111201935055,1.45502473689189,TRUE,3.00627853881279,375.408106312785,19.2776817004767,2407.29456297638,"Successful breeder"
"9",2802,"2018","Chick rearing","ROYD","Old","M",3,"2018-12-16","2019-01-31",8252,1451816.97267,71.020175653175,1461918,0.282639915133416,1.54808465333253,1.33781328243243,TRUE,7.31560283687943,1287.07178428191,20.3207019819169,3575.12603416334,"Successful breeder"
"10",2802,"2018","Incubation","ROYD","Old","M",3,"2018-11-24","2018-12-15",4502,386174.807926,33.4208780031097,507115,0.44448774291582,1.60925122725455,1.77246423581081,TRUE,4.16851851851852,357.569266598148,31.9596146830601,2741.44781466452,"Successful breeder"
"11",32189,"2016","Returning migration","CROZ","Middle-age","M",1,"2017-08-16","2017-10-31",9494,1548620.294942,61.0222159837792,1971292,0.364559205649939,1.65035296602064,1.46521031964286,TRUE,5.13744588744589,837.997995098485,17.3380706663447,2828.11123962924,"Failed breeder"
"12",32189,"2016","Moult","CROZ","Middle-age","M",1,"2017-02-01","2017-04-14",6036,641889.563712,27.0265334824387,1296816,0.417973556226094,1.34140653820411,1.52884350988701,TRUE,3.44520547945205,366.375321753425,16.7561165192286,1781.90462591702,"Failed breeder"
"13",32189,"2016","Migration max","CROZ","Middle-age","M",1,"2017-06-01","2017-08-15",6318,981818.283886,66.7424538429883,1189568,0.390353916009437,1.64271714468186,1.70223187389163,TRUE,3.46381578947368,538.277567919956,19.1202184322376,2971.28522454336,"Failed breeder"
"14",32189,"2016","Outgoing migration","CROZ","Middle-age","M",1,"2017-04-15","2017-05-31",610,129631.299578,28.1037852622951,228278,0.340171915429964,1.53034400901639,1.68259559069767,TRUE,0.540780141843972,114.921364874113,9.61984948177223,2044.31736076538,"Failed breeder"
"15",32189,"2018","Outgoing migration","CROZ","Middle-age","M",3,"2019-04-15","2019-05-26",547,123840.57957,21.8174624862888,191250,0.380627951205925,1.58652734259598,1.71181917142857,TRUE,0.484929078014184,109.787747845745,10.2964705882353,2331.11679190588,"Successful breeder"
"16",32189,"2018","Migration max","CROZ","Middle-age","M",3,"2019-06-07","2019-08-15",3594,779721.831732,77.9267751669449,879949,0.326968158664226,1.62390336944058,1.63898188333333,TRUE,1.97039473684211,427.479074414474,14.7035794119886,3189.95600226286,"Successful breeder"
"17",32189,"2018","Returning migration","CROZ","Middle-age","M",3,"2019-08-16","2019-10-31",10400,1661374.145222,49.7714392778846,2256411,0.360051408643645,1.51623183320192,1.36031720118343,TRUE,5.62770562770563,899.011983345238,16.5927218046712,2650.64605818674,"Successful breeder"
"18",32189,"2018","Incubation","CROZ","Middle-age","M",3,"2018-11-26","2018-12-15",1951,186745.332748,31.6353238031779,315588,0.370833541301765,1.39138973157355,1.46284606052632,TRUE,1.80648148148148,172.912345137037,22.2555990722081,2130.25589658922,"Successful breeder"
"19",32189,"2018","Moult","CROZ","Middle-age","M",3,"2019-02-01","2019-04-14",1773,288820.628198,20.3754458601241,439376,0.360501338324823,1.49435748257191,1.71178162678063,TRUE,1.01198630136986,164.851956734018,14.52696551473,2366.43390060631,"Successful breeder"
"20",32189,"2018","Chick rearing","CROZ","Middle-age","M",3,"2018-12-16","2019-01-31",5568,909944.067876,55.3511792618534,1360626,0.333633082149831,1.53851643791307,1.48271561428571,TRUE,4.93617021276596,806.68800343617,14.7320424569279,2407.56728473041,"Successful breeder"
"21",3698,"2016","Moult","ROYD","Old","M",1,"2017-02-01","2017-04-14",3874,449685.201494351,34.1524833272942,781975,0.3215828683924,1.12881633158455,1.17946938129699,TRUE,2.21118721461187,256.669635556136,17.8348412673039,2070.22823668233,"Failed breeder"
"22",3698,"2016","Migration max","ROYD","Old","M",1,"2017-06-01","2017-08-15",5907,730253.357738754,51.7158382319824,989579,0.308402091246283,1.24671238010407,1.32855081400884,TRUE,3.23848684210526,400.358200514668,21.489138310332,2656.59647977525,"Failed breeder"
"23",3698,"2016","Returning migration","ROYD","Old","M",1,"2017-08-16","2017-10-31",3469,433829.083470124,27.3599891400654,1107202,0.364463646351035,0.875745027067885,1.18355215633975,TRUE,1.8771645021645,234.755997548769,11.2792426314259,1410.56889392581,"Failed breeder"
"24",3698,"2016","Outgoing migration","ROYD","Old","M",1,"2017-04-15","2017-05-31",3582,383585.194163813,38.9560467712162,546130,0.306372374115609,1.19564745235019,1.27444953259734,TRUE,3.17553191489362,340.057796244515,23.61196052222,2528.53111711448,"Failed breeder"
"25",3698,"2018","Returning migration","ROYD","Old","M",3,"2019-08-16","2019-10-31",7242,965458.941378,40.9852047983982,1303984,0.396308295524826,1.33691609077603,1.37560561309524,TRUE,3.91883116883117,522.434492087662,19.9934968527221,2665.4101499411,"Successful breeder"
"26",3698,"2018","Migration max","ROYD","Old","M",3,"2019-06-01","2019-08-15",2765,390817.08696,45.5480313743219,504161,0.398112794768141,1.35263649414105,1.37645554603175,TRUE,1.51589912280702,214.263753815789,19.7436929869625,2790.65916057767,"Successful breeder"
"27",3698,"2018","Outgoing migration","ROYD","Old","M",3,"2019-04-15","2019-05-31",300,120003.03797,15.1071001333333,130015,0.40557851341562,1.41565057566667,1.48326187636364,TRUE,0.265957446808511,106.38567195922,8.30673383840326,3322.7776540553,"Successful breeder"
"28",3698,"2018","Chick rearing","ROYD","Old","M",3,"2018-12-16","2019-01-31",6877,804353.015354,44.5975274218409,1006915,0.353202662278426,1.43334820490039,1.48533193321678,TRUE,6.09663120567376,713.078914320922,24.5871796527016,2875.78480335917,"Successful breeder"
"29",3698,"2018","Moult","ROYD","Old","M",3,"2019-02-01","2019-04-13",6703,675091.831978,28.0130690496792,860256,0.368280807704435,1.4902048415784,1.58999073525281,TRUE,3.82591324200913,385.326388115297,28.0507197857382,2825.1248408855,"Successful breeder"
"30",3698,"2018","Incubation","ROYD","Old","M",3,"2018-12-13","2018-12-15",328,31811.334094,42.0927170426829,39314,0.321298357237721,1.37904051829268,1.3859124,TRUE,0.303703703703704,29.4549389759259,30.0351019992878,2912.97763489851,"Successful breeder"
"31",46514,"2016","Returning migration","CROZ","Old","M",1,"2017-08-16","2017-10-31",9919,1505788.780782,55.3105644893638,1885863,0.378673046914148,1.55627329317472,1.46532662557252,TRUE,5.36742424242424,814.820768821428,18.9347794617106,2874.46098195638,"Failed breeder"
"32",46514,"2016","Migration max","CROZ","Old","M",1,"2017-06-01","2017-08-15",5013,969763.001374,80.3122690404947,974145,0.313167869918667,1.6020541138839,1.27848986259542,TRUE,2.74835526315789,531.668312156798,18.525784149177,3583.80611197142,"Failed breeder"
"33",46514,"2016","Outgoing migration","CROZ","Old","M",1,"2017-04-15","2017-05-31",2974,452231.234392,48.5488628143914,549033,0.350696667103509,1.62024816153329,1.40566514011628,TRUE,2.63652482269504,400.914214886525,19.5004671850326,2965.27247690248,"Failed breeder"
"34",46514,"2016","Moult","CROZ","Old","M",1,"2017-02-01","2017-04-14",6772,822485.795964,40.3007356216775,1109744,0.342689274722337,1.55955760005907,1.58917154369748,TRUE,3.86529680365297,469.455362993151,21.9683098083882,2668.13685450915,"Failed breeder"
"35",46514,"2017","Outgoing migration","CROZ","Old","M",2,"2018-04-15","2018-05-31",1867,277754.42497,39.5775228976968,377834,0.372921823973315,1.28534035940011,1.43004597837838,TRUE,1.65514184397163,246.236192349291,17.7887643780073,2646.4424321051,"Non breeder"
"36",46514,"2017","Chick rearing","CROZ","Old","M",2,"2017-12-16","2018-01-31",1503,218432.838854,24.604308742515,398095,0.370195092235286,1.30062875908184,1.47298077548387,TRUE,1.33244680851064,193.646133735816,13.5917306170638,1975.3029298896,"Non breeder"
"37",46514,"2017","Migration max","CROZ","Old","M",2,"2018-06-01","2018-08-15",3690,608080.67395,56.6193953197832,789579,0.367852038621177,1.37535453222222,1.27990510983607,TRUE,2.02302631578947,333.377562472588,16.8241556576353,2772.47802464351,"Non breeder"
"38",46514,"2017","Incubation","CROZ","Old","M",2,"2017-11-01","2017-12-15",3362,322633.989884,27.9129487239738,494498,0.365284040732072,1.40262684913742,1.56390092030075,TRUE,3.11296296296296,298.735175818518,24.4757309433001,2348.81104389179,"Non breeder"
"39",46514,"2017","Returning migration","CROZ","Old","M",2,"2018-08-16","2018-10-31",7274,1017907.253736,42.5003276299148,1497142,0.392047690720408,1.30633153590872,1.49674003256484,TRUE,3.93614718614719,550.815613493506,17.4909260444233,2447.64098091537,"Non breeder"
"40",46514,"2017","Moult","CROZ","Old","M",2,"2018-02-01","2018-04-14",4531,551234.556442,26.8774040587067,753466,0.37089735327914,1.53428995585963,1.53154176036217,TRUE,2.58618721461187,314.631596142694,21.6487538920137,2633.75441385703,"Non breeder"
"41",46514,"2018","Chick rearing","CROZ","Old","M",3,"2018-12-16","2019-01-31",2111,262690.692516,28.2718133207011,461383,0.330613133190249,1.172149502937,1.37203426,TRUE,1.87145390070922,232.881819606383,16.4713480990847,2049.67780143092,"Non breeder"
"42",46514,"2018","Outgoing migration","CROZ","Old","M",3,"2019-04-15","2019-05-29",2381,342719.184952,46.0437393070139,452373,0.340555395185579,1.42296743170937,1.38490909090909,TRUE,2.11081560283688,303.829064673759,18.9480804557301,2727.3711424581,"Non breeder"
"43",46514,"2018","Returning migration","CROZ","Old","M",3,"2019-08-16","2019-10-31",10077,1800888.419508,68.0399262062122,2095645,0.326589355526635,1.34402582164335,1.37424677532468,TRUE,5.45292207792208,974.506720512987,17.3107563542489,3093.65293751031,"Non breeder"
"44",46514,"2018","Incubation","CROZ","Old","M",3,"2018-11-01","2018-12-15",4726,467571.510502,29.6088519657215,716972,0.385320612339717,1.35391245713077,1.4194628362963,TRUE,4.37592592592593,432.936583798148,23.7297969795194,2347.7310659373,"Non breeder"
"45",46514,"2018","Moult","CROZ","Old","M",3,"2019-02-01","2019-04-14",3153,345483.75155,24.8003765620044,473925,0.341048347545099,1.41106626996511,1.44527922099644,TRUE,1.79965753424658,197.19392211758,23.9506250989081,2624.3424710239,"Non breeder"
"46",46514,"2018","Migration max","CROZ","Old","M",3,"2019-06-01","2019-08-15",4782,890341.651452,72.5112297678795,937659,0.328579757682586,1.45054669180259,1.34559104444444,TRUE,2.62171052631579,488.125905401316,18.3597661836553,3418.33219243584,"Non breeder"
"47",47953,"2016","Returning migration","CROZ","Old","M",1,"2017-08-16","2017-10-31",10410,1368948.946062,38.9998031440922,2203073,0.41051367466838,1.26109366186359,1.25899988849315,TRUE,5.63311688311688,740.773239211039,17.0107844814947,2236.97362993564,"Successful breeder"
"48",47953,"2016","Moult","CROZ","Old","M",1,"2017-02-01","2017-04-14",5536,764667.417574,40.017167359104,1036623,0.33198391469853,1.40435937933526,1.48520031428571,TRUE,3.15981735159817,436.454005464612,19.2255043540419,2655.54854876498,"Successful breeder"
"49",47953,"2016","Outgoing migration","CROZ","Old","M",1,"2017-04-15","2017-05-31",2907,419200.944336,38.1794949157207,519607,0.36019744535446,1.43256425923633,1.33489344771574,TRUE,2.57712765957447,371.632042851064,20.1406062658894,2904.35540631593,"Successful breeder"
"50",47953,"2016","Migration max","CROZ","Old","M",1,"2017-06-01","2017-08-15",3052,422906.30697,39.6652777359109,731743,0.442128298476439,1.22693504026868,1.17504567509579,TRUE,1.67324561403509,231.856527944079,15.0151077632447,2080.59756648441,"Successful breeder"
"51",47953,"2017","Chick rearing","CROZ","Old","M",2,"2017-12-16","2018-01-31",2264,329351.1524,29.687933745583,607192,0.353923036101561,1.17042507137809,1.41472618779343,TRUE,2.00709219858156,291.977971985816,13.4231017536463,1952.70054388068,"Non breeder"
"52",47953,"2017","Incubation","CROZ","Old","M",2,"2017-11-01","2017-12-15",2970,313272.203558,31.471661013468,522192,0.355575214297321,1.26361670212121,1.46756916107383,TRUE,2.75,290.066855146296,20.4752275025278,2159.70358184116,"Non breeder"
"53",47953,"2017","Migration max","CROZ","Old","M",2,"2018-06-03","2018-08-15",5130,896215.250234,69.2752916218324,1046629,0.331948636396405,1.33649596830409,1.25656391090909,TRUE,2.8125,491.346080172149,17.6452209904369,3082.63472619467,"Non breeder"
"54",47953,"2017","Returning migration","CROZ","Old","M",2,"2018-08-16","2018-10-31",9529,1484957.781354,44.833931429321,2130268,0.395805531754642,1.33299810322174,1.39335242493639,TRUE,5.15638528138528,803.548582983766,16.1033259664981,2509.47205369202,"Non breeder"
"55",47953,"2017","Moult","CROZ","Old","M",2,"2018-02-01","2018-04-14",1973,383418.416942,28.1508657526609,501640,0.337978403967577,1.28669426315256,1.36544557539062,TRUE,1.12614155251142,218.846128391552,14.159157961885,2751.58739532573,"Non breeder"
"56",47953,"2017","Outgoing migration","CROZ","Old","M",2,"2018-04-15","2018-05-30",1023,162298.869092,29.9442661388074,256026,0.398762243724347,1.26884803284457,1.32003403496504,TRUE,0.906914893617021,143.88197614539,14.3844765765977,2282.09607122402,"Non breeder"
"57",47953,"2018","Outgoing migration","CROZ","Old","M",3,"2019-04-15","2019-05-31",833,209032.244486,20.221832304922,294388,0.416079591383073,1.28726394669868,1.37075793532934,TRUE,0.738475177304965,185.312273480496,10.1865565172493,2556.20500886449,"Non breeder"
"58",47953,"2018","Returning migration","CROZ","Old","M",3,"2019-08-16","2019-10-31",11808,2022989.733148,52.4731979598577,2507817,0.373562484808688,1.29839878402778,1.21407433693182,TRUE,6.38961038961039,1094.69141404113,16.9505191168255,2904.02491064252,"Non breeder"
"59",47953,"2018","Moult","CROZ","Old","M",3,"2019-02-01","2019-04-13",2704,377714.384132,23.3747909097633,469657,0.355620413785859,1.36032308975592,1.426948714377,TRUE,1.54337899543379,215.590401901826,20.7266153810121,2895.24436530319,"Non breeder"
"60",47953,"2018","Migration max","CROZ","Old","M",3,"2019-06-01","2019-08-15",3753,470574.639634,33.1968972528644,760888,0.453910785369472,1.19313952877698,1.23554728043478,TRUE,2.05756578947368,257.990482255482,17.7566212110061,2226.43635158184,"Non breeder"
"61",47953,"2018","Chick rearing","CROZ","Old","M",3,"2018-12-16","2019-01-31",3479,426777.063062,32.6102905001437,780407,0.362150780836268,1.16559400454153,1.32814261010101,TRUE,3.08421985815603,378.348460161347,16.0485490263414,1968.71302669402,"Non breeder"
"62",47953,"2018","Incubation","CROZ","Old","M",3,"2018-11-01","2018-12-15",3273,339181.509618,31.2055644943477,525893,0.366174124270809,1.30837533483043,1.36763548935361,TRUE,3.03055555555556,314.05695335,22.4053181921037,2321.8666812922,"Non breeder"
"63",4831,"2016","Outgoing migration","ROYD","Middle-age","M",1,"2017-04-15","2017-05-31",1927,209019.654242,31.1161859522574,423080,0.301018553529068,1.06033194037364,1.43588229411765,TRUE,1.70833333333333,185.301111916667,16.3968989316441,1778.55430479153,"Non breeder"
"64",4831,"2016","Moult","ROYD","Middle-age","M",1,"2017-02-01","2017-04-14",4867,542965.415438,28.784951382782,1033974,0.31108560008026,1.08633335490035,1.38067013043478,TRUE,2.77796803652968,309.911766802511,16.9454937938478,1890.44936872378,"Non breeder"
"65",4831,"2016","Returning migration","ROYD","Middle-age","M",1,"2017-08-16","2017-10-31",2072,379086.864384,24.677888542471,1027365,0.352896620855145,1.01365649888996,1.22482487837838,TRUE,1.12121212121212,205.133584623377,7.26051598020178,1328.36208337095,"Non breeder"
"66",4831,"2016","Migration max","ROYD","Middle-age","M",1,"2017-06-01","2017-08-15",2697,301627.533328,38.7113925917686,605480,0.339694685923493,1.12275188709677,1.314322165,TRUE,1.47861842105263,165.365972219298,16.0355420492832,1793.38561138403,"Non breeder"
"67",4831,"2017","Moult","ROYD","Middle-age","M",2,"2018-02-01","2018-04-14",6020,681632.994998,26.8540367973422,1016844,0.378042524081822,1.50393056171096,1.5794094956848,TRUE,3.43607305936073,389.059928651826,21.3130037645893,2413.23033030907,"Non breeder"
"68",4831,"2017","Migration max","ROYD","Middle-age","M",2,"2018-06-03","2018-08-15",1871,304430.95188,35.6156508925708,530439,0.443027602328319,1.09687687231427,1.27092635208333,TRUE,1.02576754385965,166.902934144737,12.698161334291,2066.12150835063,"Non breeder"
"69",4831,"2017","Outgoing migration","ROYD","Middle-age","M",2,"2018-04-15","2018-05-31",1681,214066.230586,25.4882905829863,374483,0.427470080689624,1.2807720610351,1.42183586296296,TRUE,1.49024822695035,189.775027115248,16.1598790866341,2057.87293444455,"Non breeder"
"70",4831,"2017","Chick rearing","ROYD","Middle-age","M",2,"2017-12-17","2018-01-31",4243,452275.58053,42.6790535305209,484092,0.352834734522152,1.75412029752534,1.48604508815789,TRUE,3.76152482269504,400.953528838652,31.5535063582955,3363.39392080018,"Non breeder"
"71",4831,"2017","Incubation","ROYD","Middle-age","M",2,"2017-11-01","2017-12-14",6053,679231.451942,42.2186901255576,889672,0.391453417055671,1.61045110447712,1.83468883322422,TRUE,5.60462962962963,628.918011057407,24.4930716039169,2748.4659818351,"Non breeder"
"72",4831,"2017","Returning migration","ROYD","Middle-age","M",2,"2018-08-16","2018-10-31",10171,1652298.878576,56.1497915003441,2166574,0.367687310041291,1.51267255422279,1.2738271490566,TRUE,5.50378787878788,894.101124770563,16.9002305021661,2745.47555858863,"Non breeder"
"73",4831,"2018","Moult","ROYD","Middle-age","M",3,"2019-02-01","2019-04-14",4089,507894.356508,27.073699787234,798782,0.385815606155584,1.45339168214722,1.5380757345898,TRUE,2.33390410958904,289.89403910274,18.4285574787614,2289.00962143463,"Successful breeder"
"74",4831,"2018","Migration max","ROYD","Middle-age","M",3,"2019-06-01","2019-08-15",5807,1078370.913918,70.0122455088686,1305892,0.360054725065597,1.5823420462373,1.32223268235294,TRUE,3.18366228070175,591.212123858553,16.008368226469,2972.78434212385,"Successful breeder"
"75",4831,"2018","Outgoing migration","ROYD","Middle-age","M",3,"2019-04-15","2019-05-31",1703,225102.992612,22.3987842806812,397166,0.437637475308358,1.29597313793306,1.44843399876033,TRUE,1.50975177304965,199.559390613475,15.4363666577703,2040.38304739882,"Successful breeder"
"76",4831,"2018","Chick rearing","ROYD","Middle-age","M",3,"2018-12-17","2019-01-31",8252,1720619.867298,87.9258238899661,1517953,0.279052418725816,1.82870212498788,1.54436149772727,TRUE,7.31560283687943,1525.37222278191,19.5705664141116,4080.64776858888,"Successful breeder"
"77",4831,"2018","Incubation","ROYD","Middle-age","M",3,"2018-11-01","2018-12-14",4260,492756.688632,38.1710323192488,662200,0.412899760463983,1.55288783995305,1.63603270068376,TRUE,3.94444444444444,456.256193177778,23.1591664149804,2678.83430847961,"Successful breeder"
"78",4831,"2018","Returning migration","ROYD","Middle-age","M",3,"2019-08-16","2019-10-31",10902,1848445.850564,53.8143475976885,2489353,0.362207714829168,1.42905069270776,1.24010600111111,TRUE,5.89935064935065,1000.24126112771,15.7660243444783,2673.14642078902,"Successful breeder"
"79",48840,"2016","Returning migration","CROZ","Old","M",1,"2017-08-16","2017-10-30",5007,791300.89243,42.40571836429,1403827,0.338843627480722,1.30025426536848,1.37935190666667,TRUE,2.70941558441558,428.193123609307,12.840043680596,2029.22668729694,"Successful breeder"
