"","bird_id","season","period","colony","age_class","sex","deploy_num","start","end","F_dives","vert_dist","av_maxdep","dive_time","av_dive_eff","av_descr","av_descr_15","na.rm","F_dives_PH","vert_dist_PH","F_dives_PHSD","vert_dist_PHSD","br_st"
"80",48840,"2016","Moult","CROZ","Old","M",1,"2017-02-01","2017-04-14",6503,747818.197162,34.2558584437952,1090384,0.351667180341592,1.425985523666,1.69259911297872,TRUE,3.71175799086758,426.836870526256,21.4702343394621,2468.98845707861,"Successful breeder"
"81",48840,"2016","Outgoing migration","CROZ","Old","M",1,"2017-04-15","2017-05-31",1141,217981.140504,38.0205865030675,282604,0.320771982901262,1.54917242839614,1.58539038032787,TRUE,1.01152482269504,193.24569193617,14.5348261171109,2776.79051186254,"Successful breeder"
"82",48840,"2016","Migration max","CROZ","Old","M",1,"2017-06-01","2017-08-15",3855,565991.714152,53.1364842801556,776362,0.347703361170806,1.44149202054475,1.2565962125,TRUE,2.11348684210526,310.302474864035,17.8756817051839,2624.51043578537,"Successful breeder"
"83",48840,"2017","Migration max","CROZ","Old","M",2,"2018-06-01","2018-08-15",3835,439941.23378,36.7991540990874,745103,0.425679662725248,1.3617397347588,1.62830523775934,TRUE,2.10252192982456,241.19585185307,18.5289818991468,2125.59665121198,"Successful breeder"
"84",48840,"2017","Incubation","CROZ","Old","M",2,"2017-11-14","2017-12-15",2407,239558.096698,31.4256616950561,376309,0.334498493765352,1.33974489547154,1.5580449968254,TRUE,2.2287037037037,221.813052498148,23.0268210433447,2291.75796516374,"Successful breeder"
"85",48840,"2017","Moult","CROZ","Old","M",2,"2018-02-01","2018-04-14",2169,433713.86648,35.2412158275703,591698,0.300227873509668,1.59360670036883,1.42792961102362,TRUE,1.23801369863014,247.553576757991,13.1965969126142,2638.79533026645,"Successful breeder"
"86",48840,"2017","Chick rearing","CROZ","Old","M",2,"2017-12-16","2018-01-31",7048,1059221.53013,54.8125588095914,1274253,0.317132586235232,1.59927527961124,1.53699289767442,TRUE,6.24822695035461,939.026179193262,19.9119013257179,2992.49639472538,"Successful breeder"
"87",48840,"2017","Outgoing migration","CROZ","Old","M",2,"2018-04-15","2018-05-31",812,136651.26407,27.0399704926108,207838,0.372779163474068,1.57749019802956,1.6405003,TRUE,0.719858156028369,121.144737650709,14.0648004695965,2366.96153086539,"Successful breeder"
"88",48840,"2017","Returning migration","CROZ","Old","M",2,"2018-08-16","2018-10-27",3825,696332.317378,31.815859545098,1246204,0.389699823926334,1.29255150478431,1.52567953614865,TRUE,2.06980519480519,376.803202044372,11.0495552895032,2011.54573614015,"Successful breeder"
"89",48840,"2018","Returning migration","CROZ","Old","M",3,"2019-08-16","2019-10-31",8027,1389270.300692,42.8250433898094,2157616,0.371407816651555,1.35897452110377,1.32511353054187,TRUE,4.34361471861472,751.769643231602,13.3931153643651,2318.00889615724,"Successful breeder"
"90",48840,"2018","Moult","CROZ","Old","M",3,"2019-02-01","2019-04-14",2878,520105.908942,46.2855970847811,732006,0.337814315452004,1.65649911167477,1.683448135,TRUE,1.64269406392694,296.864103277397,14.153982344407,2557.87694662503,"Successful breeder"
"91",48840,"2018","Outgoing migration","CROZ","Old","M",3,"2019-04-15","2019-05-31",1077,196095.84082,23.8486494150418,323027,0.369521363989903,1.59196467158774,1.63924729338235,TRUE,0.954787234042553,173.843830514184,12.0027118476165,2185.40563777022,"Successful breeder"
"92",48840,"2018","Migration max","CROZ","Old","M",3,"2019-06-01","2019-08-15",2225,344110.166544,31.3752867820225,630784,0.393297412083686,1.38899435137079,1.4104718712766,TRUE,1.21984649122807,188.656889552632,12.6984831574675,1963.89984457183,"Successful breeder"
"93",48840,"2018","Incubation","CROZ","Old","M",3,"2018-11-28","2018-12-15",1899,254453.297408,36.2644722011585,431332,0.341811423037935,1.30366150084255,1.41970921290323,TRUE,1.75833333333333,235.604905007407,15.8495080355735,2123.72805789693,"Successful breeder"
"94",48840,"2018","Chick rearing","CROZ","Old","M",3,"2018-12-16","2019-01-31",5856,1145714.309196,68.6116333845628,1383588,0.291347728100841,1.60094598196721,1.42248040921053,TRUE,5.19148936170213,1015.70417481915,15.2369057840918,2981.06915722426,"Successful breeder"
"95",49842,"2017","Chick rearing","CROZ","Middle-age","M",2,"2017-12-16","2018-01-31",4594,572638.912918,38.1991427078798,846317,0.347197629058998,1.45321535354811,1.40684950133333,TRUE,4.07269503546099,507.658610742908,19.5416138397315,2435.84860815132,"Failed breeder"
"96",49842,"2017","Returning migration","CROZ","Middle-age","M",2,"2018-08-16","2018-10-31",12370,1801413.488186,52.7736593290218,2255103,0.404972265610154,1.52174487814066,1.3046264050536,TRUE,6.69372294372294,974.790848585498,19.7472133201898,2875.73940412903,"Failed breeder"
"97",49842,"2017","Incubation","CROZ","Middle-age","M",2,"2017-12-13","2017-12-15",790,89259.515964,50.489063556962,111833,0.326850174400335,1.44199909417722,1.397216,TRUE,0.731481481481482,82.6476999666667,25.430776246725,2873.34022578666,"Failed breeder"
"98",49842,"2017","Moult","CROZ","Middle-age","M",2,"2018-02-01","2018-04-14",4466,474868.077228,26.4230182489924,624949,0.38048317897856,1.54012864310345,1.52520396139089,TRUE,2.54908675799087,271.043423075342,25.7262592627558,2735.46333864171,"Failed breeder"
"99",49842,"2017","Migration max","CROZ","Middle-age","M",2,"2018-06-01","2018-08-15",6222,820714.425424,43.6807961282546,1101374,0.427860016607889,1.37958081088075,1.38606186512968,TRUE,3.41118421052632,449.953084114035,20.3375056974288,2682.62364240158,"Failed breeder"
"100",49842,"2017","Outgoing migration","CROZ","Middle-age","M",2,"2018-04-15","2018-05-31",975,169715.342954,20.8111411179487,260495,0.432014418406617,1.27609828410256,1.29392440127389,TRUE,0.86436170212766,150.456864320922,13.4743469164475,2345.43939282673,"Failed breeder"
"101",49842,"2018","Outgoing migration","CROZ","Middle-age","M",3,"2019-04-15","2019-05-31",980,223279.364334,22.1350723367347,329449,0.382217038806795,1.2867290644898,1.36636666953642,TRUE,0.868794326241135,197.94269887766,10.708789524327,2439.84869161054,"Failed breeder"
"102",49842,"2018","Returning migration","CROZ","Middle-age","M",3,"2019-08-16","2019-10-31",11694,1738743.574498,48.7249732649222,2145386,0.386538982284548,1.52270537960493,1.33164612903226,TRUE,6.32792207792208,940.878557628788,19.6227625238535,2917.64599386441,"Failed breeder"
"103",49842,"2018","Migration max","CROZ","Middle-age","M",3,"2019-06-01","2019-08-15",5673,931839.15375,60.7319647840649,1112033,0.399490774431788,1.47979553017804,1.22097206235294,TRUE,3.11019736842105,510.876729029605,18.3652823252547,3016.65593871765,"Failed breeder"
"104",49842,"2018","Moult","CROZ","Middle-age","M",3,"2019-02-01","2019-04-14",3429,520423.40563,28.0076600787402,739941,0.352832744283384,1.4936001474774,1.51891554632353,TRUE,1.95719178082192,297.045322848173,16.6829517488557,2531.99141589397,"Failed breeder"
"105",49842,"2018","Incubation","CROZ","Middle-age","M",3,"2018-11-01","2018-12-15",5742,666070.35666,33.0571106478579,881886,0.367801736645601,1.44660356429815,1.4264868638009,TRUE,5.31666666666667,616.731811722222,23.4397643232799,2719.00595312319,"Failed breeder"
"106",49842,"2018","Chick rearing","CROZ","Middle-age","M",3,"2018-12-16","2019-01-31",5746,945213.950022,44.2793063679081,1309629,0.324910623474971,1.40847477513053,1.3870727362069,TRUE,5.09397163120567,837.955629452128,15.7950075937536,2598.27036517915,"Failed breeder"
"107",50945,"2016","Returning migration","CROZ","Middle-age","M",1,"2017-08-16","2017-10-26",6360,1052512.692462,40.4831346084906,1812433,0.368216044028844,1.25948311393082,1.35825662735043,TRUE,3.44155844155844,569.54150025,12.6327428379421,2090.58524804128,"Failed breeder"
"108",50945,"2016","Migration max","CROZ","Middle-age","M",1,"2017-06-01","2017-08-15",4680,678559.100488,53.3173171602564,905234,0.357144810705147,1.42979368837607,1.27460316964286,TRUE,2.56578947368421,372.01705070614,18.6117622625752,2698.54287593793,"Failed breeder"
"109",50945,"2016","Outgoing migration","CROZ","Middle-age","M",1,"2017-04-15","2017-05-31",1239,230658.290058,29.0259898789346,363076,0.353289471961684,1.33713766271186,1.39539640689655,TRUE,1.09840425531915,204.484299696809,12.2850312331303,2287.04140237526,"Failed breeder"
"110",50945,"2016","Moult","CROZ","Middle-age","M",1,"2017-02-01","2017-04-14",4958,591718.472174,30.0426046329165,951811,0.345877590985861,1.34347297874143,1.51940378931034,TRUE,2.82990867579909,337.738853980594,18.7524624111299,2238.03517696938,"Failed breeder"
"111",50945,"2017","Chick rearing","CROZ","Middle-age","M",2,"2017-12-17","2018-01-27",5217,775807.416278,52.8328058347709,1010254,0.307115667341103,1.58852101042745,1.6161402556962,TRUE,4.625,687.772532161347,18.5905722719237,2764.55891152205,"Successful breeder"
"112",50945,"2017","Incubation","CROZ","Middle-age","M",2,"2017-11-29","2017-12-12",3158,336254.3909,40.2157793413553,460927,0.330640690996354,1.49513419173528,1.59151681443299,TRUE,2.92407407407407,311.346658240741,24.665077116333,2626.26361059343,"Successful breeder"
"113",50945,"2017","Outgoing migration","CROZ","Middle-age","M",2,"2018-04-15","2018-05-31",788,171619.613866,28.9034621700508,250173,0.362832856064784,1.38531931053299,1.44848111511628,TRUE,0.698581560283688,152.145047753546,11.339353167608,2469.61346715113,"Successful breeder"
"114",50945,"2017","Migration max","CROZ","Middle-age","M",2,"2018-06-05","2018-08-15",4782,538735.406324,39.1028940966123,781503,0.406353000258308,1.4805474154747,1.54818748666667,TRUE,2.62171052631579,295.359323642544,22.0283223480908,2481.68908214863,"Successful breeder"
"115",50945,"2017","Returning migration","CROZ","Middle-age","M",2,"2018-08-16","2018-10-27",4597,760469.869538,31.4588430454644,1329140,0.396813982994927,1.24374021559713,1.44107030775194,TRUE,2.48755411255411,411.50966966342,12.4510585792317,2059.74655065441,"Successful breeder"
"116",50945,"2017","Moult","CROZ","Middle-age","M",2,"2018-02-02","2018-04-14",3870,579537.453966,30.6396701447028,937401,0.330940385466384,1.35662988284238,1.48686939700599,TRUE,2.20890410958904,330.786218017123,14.8623694662156,2225.6588528043,"Successful breeder"
"117",50945,"2018","Incubation","CROZ","Middle-age","M",3,"2018-11-04","2018-12-14",3716,407566.044076,34.7088537674919,648083,0.365486532206247,1.47414483759419,1.57606752803347,TRUE,3.44074074074074,377.375966737037,20.6418005101198,2263.96581714626,"Failed breeder"
"118",50945,"2018","Chick rearing","CROZ","Middle-age","M",3,"2018-12-16","2019-01-31",7205,1197202.693982,65.9041364038862,1650376,0.319646276709907,1.61715520391395,1.55247368559322,TRUE,6.38741134751773,1061.34990601241,15.7164185615884,2611.48350335633,"Failed breeder"
"119",50945,"2018","Migration max","CROZ","Middle-age","M",3,"2019-06-01","2019-08-15",5896,927488.406608,62.769513202171,1281762,0.3879048563475,1.50324798281886,1.91532148310811,TRUE,3.23245614035088,508.491450991228,16.5597045317305,2604.9752323667,"Failed breeder"
"120",50945,"2018","Returning migration","CROZ","Middle-age","M",3,"2019-08-16","2019-10-31",9793,1582721.757088,47.1598492852037,2277680,0.368513600057442,1.42451794627795,1.38393025826772,TRUE,5.29924242424242,856.451167255411,15.4783815110112,2501.5798204826,"Failed breeder"
"121",50945,"2018","Outgoing migration","CROZ","Middle-age","M",3,"2019-04-15","2019-05-31",1441,306827.581082,25.3294332616239,517679,0.391326085148643,1.31032352519084,1.31788286666667,TRUE,1.27748226950355,272.010266916667,10.0208816660517,2133.71469944734,"Failed breeder"
"122",50945,"2018","Moult","CROZ","Middle-age","M",3,"2019-02-01","2019-04-14",3420,522059.57573,35.9323514678363,824670,0.354406480270525,1.59376598473684,1.55937239952381,TRUE,1.95205479452055,297.979209891553,14.9296082069191,2278.98974453782,"Failed breeder"
"123",51069,"2016","Migration max","CROZ","Middle-age","F",1,"2017-06-01","2017-08-15",5224,998580.031396,80.1939969582695,1053015,0.364235778632437,1.65071576521822,1.45036138348624,TRUE,2.8640350877193,547.467122475877,17.8595746499338,3413.90019422857,"Successful breeder"
"124",51069,"2016","Returning migration","CROZ","Middle-age","F",1,"2017-08-16","2017-10-30",9588,1533470.427428,57.1397514862328,1974195,0.371182840148135,1.50915410755111,1.24176334180328,TRUE,5.18831168831169,829.800014841991,17.4839871441271,2796.32637036402,"Successful breeder"
"125",51069,"2016","Moult","CROZ","Middle-age","F",1,"2017-02-01","2017-04-14",5882,605817.430244,33.5228991873512,864718,0.371137006820726,1.43988173145189,1.56637003913043,TRUE,3.35730593607306,345.786204477169,24.4879833656753,2522.1433448574,"Successful breeder"
"126",51069,"2016","Outgoing migration","CROZ","Middle-age","F",1,"2017-04-15","2017-05-31",1472,210246.068238,26.4417743817935,321402,0.385467650804223,1.37756366915761,1.43866983902439,TRUE,1.30496453900709,186.388358367021,16.487762988407,2354.95064018519,"Successful breeder"
"127",51069,"2017","Chick rearing","CROZ","Middle-age","F",2,"2017-12-16","2018-01-31",5257,527468.469218,26.3174777858094,909439,0.372051570805741,1.41234483587597,1.42250837109145,TRUE,4.6604609929078,467.613891150709,20.8097519459799,2087.97565222604,"Non breeder"
"128",51069,"2017","Moult","CROZ","Middle-age","F",2,"2018-02-01","2018-04-14",4248,488883.095648,25.9152717043314,757632,0.369030867440955,1.38389570743879,1.3727619362069,TRUE,2.42465753424658,279.042862812785,20.1849974657881,2323.00001099848,"Non breeder"
"129",51069,"2017","Returning migration","CROZ","Middle-age","F",2,"2018-08-16","2018-10-29",9229,1417290.620686,49.0226978740925,1866247,0.383337723332596,1.49028794126124,1.45606290647059,TRUE,4.99404761904762,766.932154050866,17.802788162553,2733.96085002125,"Non breeder"
"130",51069,"2017","Outgoing migration","CROZ","Middle-age","F",2,"2018-04-15","2018-05-31",1311,210405.85759,32.9051762166285,296419,0.364644644673465,1.36477286536995,1.37505937754237,TRUE,1.16223404255319,186.530015593972,15.9220562784437,2555.37292590556,"Non breeder"
"131",51069,"2017","Incubation","CROZ","Middle-age","F",2,"2017-11-03","2017-12-14",3881,517554.947684,48.1722587451688,560014,0.305114640372629,1.72073381241948,1.51597957586207,TRUE,3.59351851851852,479.217544151852,24.9486619977358,3327.05577300282,"Non breeder"
"132",51069,"2017","Migration max","CROZ","Middle-age","F",2,"2018-06-01","2018-08-15",3240,523352.381288,55.0961054290123,667036,0.369064765294763,1.53378405138889,1.47739415950413,TRUE,1.77631578947368,286.925647635965,17.4863125828291,2824.53806486726,"Non breeder"
"133",51069,"2018","Chick rearing","CROZ","Middle-age","F",3,"2018-12-16","2019-01-31",8539,1508643.688582,69.6329705480735,1784790,0.307116548814728,1.62878677295936,1.34797941222222,TRUE,7.57003546099291,1337.45007853014,17.2235389037366,3043.0007333609,"Successful breeder"
"134",51069,"2018","Moult","CROZ","Middle-age","F",3,"2019-02-01","2019-04-14",3830,498154.74474,26.6855497519582,650756,0.365617925854907,1.49570065877285,1.48595636367265,TRUE,2.18607305936073,284.334899965753,21.1876648083153,2755.80567995378,"Successful breeder"
"135",51069,"2018","Outgoing migration","CROZ","Middle-age","F",3,"2019-04-15","2019-05-31",1230,212417.41552,22.9225874634146,328813,0.423070471298324,1.42131381268293,1.46171463728324,TRUE,1.09042553191489,188.313311631206,13.4666208452829,2325.64617540061,"Successful breeder"
"136",51069,"2018","Migration max","CROZ","Middle-age","F",3,"2019-06-01","2019-08-15",6169,1133011.291632,78.208819218674,1209600,0.366252097959403,1.63365935527638,1.29505311136364,TRUE,3.38212719298246,621.168471289474,18.360119047619,3372.05741557143,"Successful breeder"
"137",51069,"2018","Incubation","CROZ","Middle-age","F",3,"2018-11-11","2018-12-15",6116,639383.392978,36.4484559973839,807148,0.375237035011584,1.53068505676913,1.58708181904762,TRUE,5.66296296296296,592.021660164815,27.2782686694386,2851.74492747402,"Successful breeder"
"138",51069,"2018","Returning migration","CROZ","Middle-age","F",3,"2019-08-16","2019-10-31",11797,1775192.121224,54.3579377019581,2097511,0.370609492544379,1.56270977011952,1.38379988450185,TRUE,6.38365800865801,960.601797199134,20.2474265927568,3046.7976741988,"Successful breeder"
"139",5139,"2016","Outgoing migration","ROYD","Middle-age","M",1,"2017-04-15","2017-05-31",2108,308495.2209,45.5522866176471,455455,0.286048779862327,1.23267450901328,1.261048375,TRUE,1.86879432624113,273.488671010638,16.6620192993819,2438.40290531447,"Failed breeder"
"140",5139,"2016","Moult","ROYD","Middle-age","M",1,"2017-02-01","2017-04-14",2131,316924.293694,28.3238793477241,615419,0.315915964238275,1.0477542292351,1.2849030202381,TRUE,1.21632420091324,180.892861697489,12.4656534816117,1853.90353125009,"Failed breeder"
"141",5139,"2016","Returning migration","ROYD","Middle-age","M",1,"2017-08-16","2017-10-31",8592,1137232.23016,47.1026546892458,2072200,0.35443759339854,1.04342050418994,1.2516972037037,TRUE,4.64935064935065,615.385405930736,14.9267445227295,1975.69540998745,"Failed breeder"
"142",5139,"2016","Migration max","ROYD","Middle-age","M",1,"2017-06-01","2017-08-15",4100,404901.151346,33.6245411195122,747542,0.357467730531424,1.09923682202439,1.2798297,TRUE,2.24780701754386,221.985280343202,19.7447099962276,1949.91605133304,"Failed breeder"
"143",5139,"2018","Migration max","ROYD","Middle-age","M",3,"2019-06-01","2019-08-15",1813,273519.321632,32.3662498896856,412431,0.425823240704775,1.24531854511859,1.39498281843972,TRUE,0.993969298245614,149.955768438596,15.8251925776675,2387.47707586287,"Successful breeder"
"144",5139,"2018","Incubation","ROYD","Middle-age","M",3,"2018-11-13","2018-12-15",1763,177570.586946,36.6960425694838,199333,0.36858625913586,1.56776373652864,1.58111369387755,TRUE,1.63240740740741,164.417210135185,31.8401870237241,3206.96579595752,"Successful breeder"
"145",5139,"2018","Chick rearing","ROYD","Middle-age","M",3,"2018-12-16","2019-01-31",8084,1456612.22144,65.0931045930233,1385906,0.308006560818597,1.62841477117763,1.82737891111111,TRUE,7.16666666666667,1291.32289134752,20.9988267602565,3783.66497957582,"Successful breeder"
"146",5139,"2018","Moult","ROYD","Middle-age","M",3,"2019-02-01","2019-04-14",5822,716550.522716,30.034240132257,962299,0.369931354416496,1.47230422085194,1.55374509217221,TRUE,3.32305936073059,408.990024381279,21.7803406217818,2680.64487417902,"Successful breeder"
"147",5139,"2018","Returning migration","ROYD","Middle-age","M",3,"2019-08-16","2019-10-31",6544,896366.152536,38.3360341045232,1318449,0.400847242324379,1.27847458259474,1.23547252357143,TRUE,3.54112554112554,485.046619337662,17.8682679421047,2447.51078663612,"Successful breeder"
"148",5139,"2018","Outgoing migration","ROYD","Middle-age","M",3,"2019-04-15","2019-05-31",159,121311.195642,14.8095552830189,162634,0.402241902087365,1.45821073962264,1.56452949166667,TRUE,0.140957446808511,107.545386207447,3.51955925575218,2685.29522923374,"Successful breeder"
"149",63108,"2017","Outgoing migration","ROYD","Young","F",2,"2018-04-15","2018-05-31",693,167727.816436,25.6978032756133,243180,0.400507002713276,1.31713489062049,1.37981363195876,TRUE,0.61436170212766,148.69487272695,10.259067357513,2483.01726774241,"Non breeder"
"150",63108,"2017","Migration max","ROYD","Young","F",2,"2018-06-01","2018-08-15",2704,437795.358134,50.9330207026627,581822,0.378590113485133,1.33481163849852,1.39399820338983,TRUE,1.48245614035088,240.019384941886,16.730890203533,2708.84100168505,"Non breeder"
"151",63108,"2017","Incubation","ROYD","Young","F",2,"2017-11-27","2017-12-15",3705,383003.159294,32.1788534736842,567102,0.368173318647233,1.44365840253711,1.59427803186373,TRUE,3.43055555555556,354.632554901852,23.5195784885259,2431.32870887142,"Non breeder"
"152",63108,"2017","Moult","ROYD","Young","F",2,"2018-02-01","2018-04-14",5788,687177.177738,33.174421142018,859706,0.35415963047481,1.52917298491707,1.58445104911894,TRUE,3.30365296803653,392.224416517123,24.237122923418,2877.53934467923,"Non breeder"
"153",63108,"2017","Chick rearing","ROYD","Young","F",2,"2017-12-16","2018-01-31",5546,564357.694666,32.2413523151821,815816,0.376889174395204,1.48140939734944,1.54005650391566,TRUE,4.91666666666667,500.317105200355,24.4731655177148,2490.37491394824,"Non breeder"
"154",63108,"2017","Returning migration","ROYD","Young","F",2,"2018-08-16","2018-10-31",9295,1157319.427496,32.9907192307692,1812752,0.412518341729909,1.34436316873588,1.45170424124457,TRUE,5.02976190476191,626.255101458874,18.459226634421,2298.35627762959,"Non breeder"
"155",63108,"2018","Outgoing migration","ROYD","Young","F",3,"2019-04-15","2019-05-31",1927,291919.231222,24.3422349766476,455854,0.431255624193046,1.36601893637779,1.44426336578171,TRUE,1.70833333333333,258.793644700355,15.2180303342737,2305.36363045887,"Successful breeder"
"156",63108,"2018","Returning migration","ROYD","Young","F",3,"2019-08-16","2019-10-31",13353,1784727.983564,46.3817238358421,2431202,0.406816094560526,1.42802763926458,1.38411446118211,TRUE,7.22564935064935,965.761895867965,19.7724417798274,2642.73422810215,"Successful breeder"
"157",63108,"2018","Chick rearing","ROYD","Young","F",3,"2018-12-16","2019-01-31",8966,1419290.723946,65.22282135735,1515160,0.305549877210127,1.47563885113763,1.35169626222222,TRUE,7.94858156028369,1258.23645739894,21.3030967026585,3372.21587568679,"Successful breeder"
"158",63108,"2018","Migration max","ROYD","Young","F",3,"2019-06-01","2019-08-15",5868,1207920.582012,74.9815799727335,1283702,0.335548842499386,1.49228842302318,1.31296459789916,TRUE,3.21710526315789,662.237161190789,16.4561557121513,3387.47941129888,"Successful breeder"
